OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2181,004-0172,0043-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
2182,081-0018,2392-000,Tennis,Lachine,Sportif
2183,021-0059,2861-000,Bocce,Saint-Léonard,Loisirs et détente
2184,050-0096,2856-000,Pataugeoire,Saint-Léonard,Récréatif
2185,075-0041,2700-004,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
2186,052-0104,0699-000,Patinoire avec bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2187,073-0059, ,Soccer à 11,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2188,069-0008,0341-000,Sentier de raquette,Le Sud-Ouest,Plein air
2189,095-0002,2802-000,Pétanque,Saint-Laurent,Loisirs et détente
2190,013-0005,2826-000,Aire d'exercice canin,Saint-Laurent,Loisirs et détente
2191,004-0111,1173-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
2192,018-0051,0937-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
2193,005-0011,0857-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2194,012-0053,2850-000,Aire d'entraînement pour adultes,Saint-Léonard,Loisirs et détente
2195,016-0140,0105-000,Balle,Mercier-Hochelaga-Maisonneuve,Sportif
2196,050-0065,0698-000,Pataugeoire,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2197,004-0108,0206-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
2198,052-0008,2817-000,Patinoire avec bandes,Saint-Laurent,Récréatif
2199,003-0500,2854-000,Aire de jeu 18 mois à 5 ans,Saint-Léonard,Aire de jeu - enfant
2200,052-0049,0941-000,Patinoire avec bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
2201,065-0006,0401-000,Patinoire 4 saisons,Villeray-Saint-Michel-Parc-Extension,Récréatif
2202,004-0382, ,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
2203,050-0041,0939-000,Pataugeoire,Villeray-Saint-Michel-Parc-Extension,Récréatif
2204,016-0002,2797-000,Balle,Saint-Laurent,Sportif
2205,004-0433,2005-000,Aire de jeu  5 à 12 ans,Anjou,Aire de jeu - enfant
2206,073-0066-76-S2,2476-000,Soccer sous-terrain à 7,LaSalle,Sportif
2207,077-0005,2812-000,Soccer à 9,Saint-Laurent,Sportif
2208,004-0047,0332-000,Aire de jeu  5 à 12 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2209,095-0086,0115-000,Pétanque,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
2210,009-0027,0510-000,Aire de pique-nique,Côte-des-Neiges-Notre-Dame-de-Grâce,Plein air
